opening_balance,daily_income,daily_expense,recurring_payment_amount,upcoming_payment_amount,expected_invoice_amount,overdue_invoice_amount,discretionary_spending,day_of_month,cash_flow_7d,cash_flow_30d,minimum_safe_balance,cash_shortage_risk,predicted_minimum_balance,days_to_cash_shortage
37235.81,2120.24,2686.49,11805.11,18651.02,6141.55,14000.0,4092.5,3,-10195.83,-46901.99,15000.0,1,-10077.67,14.1
238541.91,6178.87,7019.85,23387.73,14342.86,22385.35,0.0,3206.36,9,-7146.94,-40574.65,20000.0,0,198289.36,30.0
58653.04,1457.5,2126.22,10466.91,5938.1,13066.34,5000.0,8406.54,29,-4443.03,-25400.33,15000.0,0,33307.16,30.0
220245.38,11430.31,3798.64,37078.53,18750.38,74038.7,0.0,2366.83,24,60729.3,247159.97,20000.0,0,280742.11,30.0
46229.93,2888.88,3049.16,5518.03,22211.51,10145.37,5000.0,3318.53,25,-7977.45,-24392.4,15000.0,0,21606.21,30.0
156106.5,3219.26,6037.28,26629.01,24345.37,30276.59,8000.0,12470.05,13,-23408.96,-108438.33,25000.0,0,47841.02,30.0
117629.92,6263.07,6156.03,39701.81,32320.51,25802.31,0.0,7356.99,26,-7018.52,-43009.06,25000.0,0,74196.31,30.0
79552.27,7188.35,3239.93,26337.31,25152.85,30927.06,8000.0,5238.8,30,23763.21,94689.49,25000.0,0,103494.1,30.0
85582.98,10817.36,2784.0,12602.0,22727.08,94794.17,0.0,5978.56,28,66101.52,300465.89,20000.0,0,151681.86,30.0
153129.22,6176.75,6035.69,35634.92,42188.97,17638.65,8000.0,6884.15,19,-12360.48,-59153.61,25000.0,0,94111.03,30.0
49174.83,2259.68,2955.91,18052.25,5833.09,13640.39,14000.0,3904.82,3,-4478.74,-36731.74,15000.0,1,12398.53,22.7
8802.5,3179.92,2109.18,18767.87,9347.45,17674.56,0.0,2375.22,15,7291.13,21681.5,15000.0,1,15352.13,30.0
60771.75,2861.24,3523.06,7113.05,19348.22,23581.83,14000.0,4344.21,1,-7655.66,-28334.05,15000.0,0,32198.63,30.0
116170.97,6756.6,3940.79,47424.89,19258.58,15691.83,0.0,5236.86,19,15145.54,33482.4,25000.0,0,131403.44,30.0
57632.03,1984.89,3196.52,12465.29,11915.83,12641.64,0.0,7107.07,15,-10719.41,-48088.35,15000.0,1,10166.3,20.3
36911.45,1333.24,1903.86,14228.44,13062.09,9654.76,5000.0,4011.79,20,-7288.21,-36754.3,15000.0,1,456.24,15.0
164083.89,6506.41,4003.88,29533.72,20945.61,42965.48,8000.0,5454.54,2,17732.56,64362.05,25000.0,0,182190.65,30.0
315494.38,7065.61,7016.92,15650.85,26314.86,29561.65,6000.0,7022.88,8,-4272.73,-13343.11,20000.0,0,302023.04,30.0
138005.48,5813.39,6877.93,38080.8,21064.77,24247.71,20000.0,14508.9,8,-11028.09,-74833.85,25000.0,0,63005.84,30.0
90127.71,4971.43,8220.6,23674.0,33104.27,31776.77,0.0,6072.19,8,-29630.58,-122476.74,25000.0,1,-31814.38,12.9
268026.82,5644.04,5669.59,32021.6,16179.14,75233.32,6000.0,10404.4,11,8396.21,23866.29,20000.0,0,276126.14,30.0
304891.46,5434.97,7564.63,40706.58,18452.11,64345.66,0.0,5793.06,21,-9419.34,-58702.84,20000.0,0,246150.89,30.0
53171.21,1209.26,2133.7,11768.87,15285.31,23156.68,0.0,4992.75,27,-7953.83,-31630.52,15000.0,0,21439.95,30.0
32146.37,1481.71,1788.05,13472.25,12797.43,23041.46,0.0,7353.72,11,-2655.04,-12418.35,15000.0,0,20228.73,30.0
31964.17,5918.63,4143.59,53559.6,17351.86,27487.33,40000.0,9420.84,8,10981.97,-6173.08,25000.0,0,26563.1,30.0
49997.63,1619.81,3375.72,8487.37,8004.44,2840.64,5000.0,1992.81,14,-14925.01,-68328.42,15000.0,1,-18313.03,15.3
102163.19,5135.96,7256.39,21810.31,24037.06,11548.66,20000.0,7479.71,10,-22148.12,-105911.68,25000.0,1,-3203.08,21.2
344100.8,10798.42,7268.47,25463.49,19241.34,39041.64,0.0,8718.93,29,24821.45,100235.33,20000.0,0,369207.7,30.0
80890.69,5476.38,7903.54,38598.7,37949.27,45849.8,40000.0,11667.2,24,-22999.84,-119512.85,25000.0,1,-39130.14,10.9
42994.45,2671.81,3265.88,7087.21,22405.33,16787.29,0.0,8195.04,15,-9763.18,-30527.42,15000.0,1,12017.43,18.2
171656.58,4756.71,7068.6,23391.34,24572.03,47206.84,0.0,4944.66,20,-16570.67,-70113.2,20000.0,0,101593.31,30.0
201898.33,5865.8,5166.28,28911.1,23800.49,72413.44,0.0,4578.88,22,9859.15,40687.53,20000.0,0,211464.68,30.0
93255.59,3421.7,7973.03,43575.21,36594.62,46661.44,40000.0,4413.01,4,-37164.9,-186048.44,25000.0,1,-93020.74,9.4
104619.73,6184.95,3764.87,23180.69,21492.62,20525.42,20000.0,10168.96,12,12448.63,40454.67,25000.0,0,117038.71,30.0
155716.04,4700.59,7285.83,33615.33,24739.37,53055.48,0.0,3993.58,4,-17381.31,-82856.34,25000.0,0,73549.09,30.0
89109.92,10778.09,4904.56,42211.95,23316.79,65780.35,0.0,6760.5,15,44944.06,176457.47,20000.0,0,133527.54,30.0
54302.08,6755.19,7685.96,53343.74,17568.2,37296.63,8000.0,4279.18,9,-6083.36,-64738.48,25000.0,1,-10473.56,8.5
119742.91,4960.5,3602.45,20877.32,12084.22,53481.87,8000.0,10082.77,19,15369.08,58062.02,25000.0,0,134577.82,30.0
53445.82,3124.2,3138.03,16739.52,14947.31,3994.22,5000.0,6991.69,21,-5276.91,-30107.59,15000.0,0,23579.67,30.0
177086.52,7045.81,6627.32,43647.48,13857.45,39486.12,40000.0,11466.9,7,5283.65,-21464.24,25000.0,0,155901.36,30.0
225625.84,8049.08,4220.7,15977.25,23544.57,34444.93,6000.0,11710.58,23,24269.78,107374.34,20000.0,0,250092.69,30.0
32308.62,2244.87,2818.0,16052.84,11658.64,14895.58,28500.0,2077.15,5,-5696.28,-41409.92,15000.0,1,-8863.8,10.6
115864.16,6578.69,6053.53,42481.24,38562.81,32447.9,0.0,10390.36,30,-5259.4,-32841.23,25000.0,0,83412.39,30.0
99291.43,7454.6,3201.26,24862.5,25822.7,51831.73,20000.0,14975.21,20,29810.68,120746.89,25000.0,0,129094.83,30.0
70753.05,4671.95,3686.01,30445.71,30810.69,42416.77,0.0,4325.69,14,3060.69,10738.7,25000.0,0,73647.17,30.0
56169.31,2631.11,2696.04,9713.52,23117.12,3037.32,0.0,4437.23,4,-9093.91,-31741.29,15000.0,0,24723.32,30.0
200872.42,9100.59,3418.69,44708.56,11560.12,90704.88,0.0,4305.69,19,53290.22,204893.16,20000.0,0,254098.45,30.0
64600.47,3629.68,4368.58,24898.22,40065.04,24455.89,0.0,10557.34,23,-16307.11,-62674.22,25000.0,1,2352.4,13.4
53084.39,6634.42,4389.54,26281.25,31331.08,35868.18,8000.0,13321.52,11,10355.37,42402.27,25000.0,0,63330.99,30.0
58324.88,3111.3,3296.68,18761.77,17760.08,14669.72,5000.0,3610.43,28,-5467.73,-29413.47,15000.0,0,29086.56,30.0
20585.23,2646.84,2490.93,6377.79,8623.85,17714.95,28500.0,8936.07,18,1184.85,-4009.27,15000.0,0,15531.71,30.0
153702.14,4434.7,6793.49,38932.08,21613.02,49295.61,20000.0,13417.93,28,-15297.56,-90012.96,25000.0,0,63428.12,30.0
312842.38,9812.72,7103.57,35016.56,22323.38,66395.85,0.0,3892.22,5,23313.86,90330.39,20000.0,0,336045.14,30.0
54113.98,6644.45,7610.31,36776.31,12229.89,21490.79,8000.0,6917.2,9,-7354.86,-59691.39,25000.0,1,-5827.47,10.7
110997.81,6465.27,3767.0,46158.03,31485.6,53260.62,20000.0,7705.81,15,16945.82,48565.27,25000.0,0,128167.5,30.0
98702.72,11529.21,6283.37,14238.62,13223.13,73112.91,0.0,9085.72,22,46054.23,203026.42,20000.0,0,145115.46,30.0
57292.21,3146.98,3531.53,17744.08,6731.81,19440.05,28500.0,1665.93,6,-1496.59,-27972.44,15000.0,0,28862.81,30.0
54127.14,1705.02,1402.26,7701.95,13839.33,23718.98,5000.0,4885.4,7,1327.33,9260.28,15000.0,0,55844.07,30.0
55396.83,2745.65,1906.12,7232.7,22229.14,24154.44,14000.0,6984.53,15,1815.92,14278.43,15000.0,0,57245.06,30.0
125778.89,4668.69,4653.34,54407.17,26736.02,50022.66,20000.0,11950.04,3,-582.41,-38659.94,25000.0,0,87141.21,30.0
56861.49,2146.42,3530.03,8153.93,22241.09,19861.73,5000.0,7835.87,20,-14609.33,-54041.46,15000.0,1,2751.21,17.7
121928.48,7965.73,2506.78,31744.8,20575.35,38565.5,0.0,4005.25,25,37695.64,150013.98,20000.0,0,159547.08,30.0
44091.17,1851.85,2698.58,12365.19,24671.38,5440.35,28500.0,2043.35,18,-14707.59,-68398.11,15000.0,1,-23565.26,13.8
46698.91,2920.24,3115.67,5673.52,14090.65,4413.39,0.0,2270.94,14,-6121.57,-21213.59,15000.0,0,25484.24,30.0
135369.75,5430.35,3251.79,30079.07,30637.62,12129.73,0.0,3990.1,13,5420.84,16769.94,25000.0,0,140443.08,30.0
28815.4,1465.43,2648.59,16720.9,20812.32,6603.46,14000.0,2284.26,11,-15286.35,-72024.52,15000.0,1,-42698.61,6.2
74825.38,7195.45,8220.96,41136.27,40203.22,36776.13,20000.0,3961.38,20,-15904.62,-83328.63,25000.0,1,-7856.48,13.8
204653.07,4805.66,3402.0,26474.04,23395.84,64495.9,6000.0,3595.45,13,13366.46,54335.78,20000.0,0,217552.25,30.0
141641.86,6897.61,5498.37,19615.48,17820.21,8980.47,20000.0,5741.46,24,4462.7,5522.0,25000.0,0,146420.86,30.0
252091.19,5996.57,6241.26,14382.55,6735.66,39326.22,6000.0,3741.93,21,3458.17,8467.4,20000.0,0,255829.23,30.0
81890.25,4543.88,8434.54,19484.04,43213.13,35197.74,40000.0,3352.73,2,-37480.33,-160219.24,25000.0,1,-78067.05,9.9
188081.86,6576.21,5757.93,42107.99,11055.89,66722.49,6000.0,10359.98,1,14650.11,35707.06,20000.0,0,202720.42,30.0
47949.5,3018.07,1795.3,9038.24,24399.3,6162.47,28500.0,2018.5,9,32.11,-1992.2,15000.0,0,46120.38,30.0
107222.6,4488.4,6342.64,24050.38,26078.94,53562.38,8000.0,13295.84,5,-12698.8,-55394.22,25000.0,0,51717.2,30.0
51408.39,1461.75,3533.61,12714.42,8957.06,3690.43,0.0,4865.83,12,-17347.75,-80136.83,15000.0,1,-28806.21,13.5
42028.7,2613.55,1767.49,7849.53,4770.1,18937.25,28500.0,5501.34,17,7801.84,20299.49,15000.0,0,49945.12,30.0
160240.69,3767.45,3793.17,27980.74,14055.13,32964.97,40000.0,3620.36,1,790.9,-25842.5,25000.0,0,134527.2,30.0
32131.94,3067.75,2095.54,13622.99,4873.03,5411.89,28500.0,5099.23,27,5938.61,4682.07,15000.0,0,37088.91,30.0
107339.4,5097.58,6734.38,23167.1,13079.05,22472.71,40000.0,14277.84,28,-12194.69,-78877.49,25000.0,0,28565.86,30.0
175486.81,3241.33,6764.79,34418.76,43253.12,16326.04,8000.0,10939.59,23,-38700.25,-170249.58,25000.0,1,5282.36,24.8
122677.09,6883.85,6224.23,19124.32,45514.15,40407.76,0.0,10207.31,16,-5506.76,-4442.06,25000.0,0,117322.11,30.0
82286.05,3548.65,6406.26,29770.13,43191.79,54686.84,0.0,12388.63,13,-26342.58,-104003.23,25000.0,1,-21420.07,10.6
144778.63,7150.67,5522.31,51350.9,43604.08,22908.2,0.0,12814.01,24,-1461.49,-23196.03,25000.0,0,121484.58,30.0
43944.48,1856.76,2786.46,15367.14,15832.22,10749.65,28500.0,4865.2,17,-10690.83,-59740.61,15000.0,1,-16441.5,15.4
40223.7,1536.89,2813.67,17908.85,14509.35,14474.36,0.0,5093.86,21,-11846.32,-56247.19,15000.0,1,-15996.61,10.2
33601.73,1988.73,2608.71,17696.89,19025.31,13988.39,28500.0,2968.33,23,-9152.31,-52733.23,15000.0,1,-19092.71,10.2
16829.25,2158.37,1828.03,7827.64,16964.39,14030.95,5000.0,8472.04,28,-1667.2,-2850.93,15000.0,1,13404.69,3.8
137422.6,4081.33,5391.81,22509.79,18521.38,40012.54,8000.0,12597.37,7,-8579.38,-43532.95,25000.0,0,94174.34,30.0
60065.15,2049.05,1591.49,18867.73,11843.7,14109.48,5000.0,1519.38,22,1287.4,-4874.87,15000.0,0,54991.64,30.0
317577.81,6210.6,3666.25,32162.37,15864.68,82989.6,6000.0,9699.45,17,28062.51,108893.09,20000.0,0,345864.47,30.0
54356.86,2047.48,2868.61,6624.1,17101.05,12390.66,0.0,2647.38,17,-10110.22,-35968.49,15000.0,0,18178.12,30.0
159419.56,3818.68,3707.29,18874.63,35110.97,36533.42,40000.0,10655.53,9,-5957.98,-30110.48,25000.0,0,129746.93,30.0
178167.83,3441.27,6884.27,32959.79,27415.19,41727.09,0.0,3189.85,24,-26721.65,-121937.86,25000.0,0,55724.37,30.0
11246.58,2648.68,2672.45,9660.73,5667.81,3970.14,0.0,5968.13,9,-1639.51,-12071.61,15000.0,1,-1155.26,1.0
9165.43,2238.12,1548.75,18606.06,8907.95,14420.27,0.0,6600.99,12,4146.48,7587.42,15000.0,1,12960.13,1.0
179120.9,5910.64,6156.25,45034.07,28747.4,10826.69,40000.0,4065.21,5,-11052.88,-86323.02,25000.0,0,92959.51,30.0
37149.66,1393.35,2390.82,17854.78,11299.0,17292.97,14000.0,5061.65,30,-8043.25,-47384.7,15000.0,1,-10511.24,11.0
64549.01,3054.0,2587.91,19314.57,14940.12,16342.47,0.0,7409.26,1,555.12,-3929.33,15000.0,0,60197.54,30.0
106025.76,3548.73,3534.48,22353.01,20184.86,24058.7,0.0,4051.71,27,-3162.45,-18051.64,25000.0,0,87992.13,30.0
148316.99,11567.9,7303.35,17338.22,24870.62,63094.05,6000.0,10514.25,10,32522.42,146421.74,20000.0,0,180356.16,30.0
89576.82,5336.74,6528.14,42949.24,31169.32,41906.84,20000.0,12480.37,20,-12426.11,-75953.49,25000.0,1,13459.45,18.0
14227.47,1647.23,3506.11,14741.7,23587.35,15228.76,28500.0,7965.11,4,-19401.36,-90266.74,15000.0,1,-76346.29,1.1
302213.07,6881.49,7740.39,39231.63,21991.37,29132.14,0.0,2258.12,25,-8982.42,-57857.86,20000.0,0,244322.8,30.0
104169.81,8957.18,7650.47,40911.47,12666.06,83858.65,6000.0,4160.38,30,20852.28,67082.42,20000.0,0,125001.45,30.0
84719.73,4616.37,6191.54,25095.95,19623.19,30776.27,8000.0,3693.37,24,-12720.22,-64398.02,25000.0,1,20142.16,18.8
9477.79,2765.39,1983.85,8022.03,18523.98,16215.19,14000.0,8975.23,17,1304.22,7515.37,15000.0,1,10562.19,1.0
44343.42,2896.03,2993.5,18465.59,12500.77,17043.74,5000.0,4258.2,28,-2273.82,-18846.62,15000.0,0,25101.72,30.0
62829.34,1697.16,1694.37,12115.87,20597.09,15389.41,0.0,2922.71,5,-5141.41,-17239.78,15000.0,0,45567.1,30.0
5727.25,1682.4,3546.92,18626.13,24151.11,13220.64,5000.0,3493.88,11,-20067.95,-87492.18,15000.0,1,-81405.96,1.0
34294.47,1500.1,2114.29,17535.07,13996.38,10645.43,14000.0,7946.74,10,-7768.79,-44911.71,15000.0,1,-10531.78,11.7
290332.95,6865.55,6284.74,26440.9,12112.09,83065.37,0.0,4530.58,8,15833.91,61936.7,20000.0,0,306814.05,30.0
164267.66,5792.35,6453.85,20466.13,30662.69,15057.94,40000.0,14859.3,23,-13883.99,-71915.89,25000.0,0,92170.06,30.0
36250.94,3198.52,6996.51,20667.12,14565.24,8569.1,0.0,9102.95,8,-30698.22,-140603.01,25000.0,1,-104756.21,1.9
51479.21,2522.74,1807.43,7959.86,6066.31,17186.96,0.0,1657.09,16,6018.05,24620.12,15000.0,0,57679.4,30.0
17341.24,1442.77,2753.03,18168.77,17521.99,14196.95,0.0,3916.62,4,-13341.2,-60801.49,15000.0,1,-43066.9,1.6
151765.47,5885.45,3878.91,30515.9,45411.01,18556.93,0.0,7511.91,14,-407.22,2826.28,25000.0,0,151898.03,30.0
121940.94,7232.46,4475.67,22495.55,19108.94,49685.47,40000.0,14908.98,26,21591.01,74784.53,25000.0,0,143623.19,30.0
327299.43,6391.81,6652.73,27197.8,26207.97,74636.8,0.0,3805.95,11,2617.71,13403.34,20000.0,0,329996.91,30.0
50191.24,1738.66,2587.02,17375.1,6266.82,17761.85,14000.0,7633.39,15,-4892.88,-36930.9,15000.0,1,13631.83,21.5
111335.58,5574.63,5894.31,29009.29,32340.79,40377.61,20000.0,9926.07,25,-7098.53,-38562.78,25000.0,0,72586.09,30.0
31399.74,3959.39,7050.25,54696.97,15570.41,26870.23,8000.0,10890.72,25,-22490.11,-139322.84,25000.0,1,-107779.67,1.8
58203.71,4470.31,7354.1,38506.38,12188.27,43766.57,8000.0,12992.17,14,-16308.52,-96641.75,25000.0,1,-38319.64,6.7
23336.25,2953.3,3591.94,11261.26,13420.82,18607.63,5000.0,2533.67,6,-6117.24,-27233.47,15000.0,1,-4229.11,6.4
42175.36,1910.99,3147.23,6580.84,16352.25,13062.38,5000.0,1986.4,16,-12582.16,-48958.16,15000.0,1,-7008.07,13.9
34195.86,2398.74,2724.72,5389.86,10764.27,16639.28,5000.0,1939.13,13,-3259.73,-11294.32,15000.0,0,22603.53,30.0
177295.38,3786.26,7573.19,37250.97,25444.65,13751.71,0.0,8208.23,18,-33936.07,-162551.97,25000.0,1,14568.61,25.8
284644.79,10002.12,4146.94,17724.84,21301.28,57212.48,0.0,3183.36,6,43908.24,193841.74,20000.0,0,328644.16,30.0
116282.35,9751.89,5721.96,31353.81,22744.1,89721.27,0.0,11406.79,10,37056.15,156521.38,20000.0,0,152925.5,30.0
133151.57,7326.86,5039.53,27869.9,16444.33,90301.5,6000.0,3334.8,4,27493.85,112207.04,20000.0,0,160675.39,30.0
8436.82,1650.45,1688.97,11780.21,23375.08,12857.39,28500.0,2017.19,12,-7048.2,-34853.55,15000.0,1,-26372.94,1.0
342953.7,7284.05,4858.88,39878.05,12435.34,31728.64,6000.0,2336.14,20,18347.82,49770.51,20000.0,0,361015.44,30.0
114298.93,4425.83,4870.5,46558.74,15111.29,19128.86,40000.0,10965.48,20,-5331.49,-71881.51,25000.0,0,42765.35,30.0
244839.13,8208.61,7887.53,16783.85,23403.74,34339.3,0.0,6639.32,25,-246.08,3784.08,20000.0,0,244479.97,30.0
340859.73,5872.62,2621.19,35760.27,16031.76,26663.02,0.0,7612.23,17,21679.86,72413.67,20000.0,0,362843.21,30.0
223674.82,9096.75,3743.81,39948.32,16287.13,30571.97,0.0,10499.75,2,37070.14,134924.79,20000.0,0,260059.72,30.0
56719.21,2120.32,3048.42,9939.99,20526.37,4574.53,5000.0,4944.3,19,-13792.34,-55734.82,15000.0,1,795.84,21.7
14882.38,1860.43,3064.85,13829.56,8302.51,22190.09,14000.0,8029.34,27,-7313.95,-41674.67,15000.0,1,-26766.47,1.3
226234.61,8643.85,3017.84,23340.89,12778.34,49304.63,0.0,3054.74,20,44131.71,181965.9,20000.0,0,269705.1,30.0
31464.33,1591.22,1810.79,6598.61,11490.09,19422.08,28500.0,6259.37,23,-2248.63,-16653.8,15000.0,1,14499.29,19.6
215653.35,7857.02,5568.01,17479.13,20723.36,47232.56,0.0,4769.04,8,17180.25,77700.4,20000.0,0,232994.27,30.0
119716.89,2956.9,5127.57,45107.5,41533.59,22718.61,8000.0,10383.58,22,-27264.41,-132242.6,25000.0,1,-12783.51,19.2
205900.52,5418.25,6488.52,22659.37,29929.88,93483.68,0.0,3622.33,27,-767.08,8786.45,20000.0,0,204952.41,30.0
54377.51,1619.51,2233.86,21548.78,11073.65,8819.26,0.0,2330.61,28,-6966.08,-42233.77,15000.0,1,12226.85,23.0
198594.26,7183.49,5218.17,39332.23,14044.99,33032.12,0.0,3129.43,26,14745.66,38614.46,20000.0,0,212753.33,30.0
19392.45,1483.94,2165.47,12655.97,19725.35,16976.39,0.0,7810.86,11,-9265.55,-35850.74,15000.0,1,-16601.39,2.8
49357.68,1412.69,2092.82,5064.89,18315.06,5844.04,14000.0,3203.85,8,-10918.17,-43539.98,15000.0,1,6078.05,23.4
